Cf_1986-235*G_Maryland
Cf_2019-097_Arkansas
Cf_Super_Princess
Cf_Fircomz_Firebird
Cf_H4AR15P25
Cf_Jeans_Appalachian_Snow
Cf_321-51*70_Michigan
Cf_Red_Beauty
Cf_Plena
Cf_Pumpkin_Patch
Ck_1996-363*A_China
Ck_1986-115*D_South_Korea
Ck_Elizabeth_lustgarten
Ck_China_Girl
Ck_Wolfeyes
Ck_Benifuji
Ck_Moonbeam
Ck_Rosabella_1993-096*B
Ck_K2
Ck_White_Ball
Cn_Hoyt_Arb_D_Oregon
Cn_2017-137_Oregon
Cn_Corigo_Giant
Cn_Moreland_Arboretum
Cn_1994-026_Hoyt_Arb
Cn_2015-315_Hoyt_Arb
Ck_Rutpink_Scarlet_Fire
Ck_H3DR04P03
Cx_KN4-43_Starlight
Cx_Rutcan_Constellation
Cx_Rutdan_Celestial
Ck_d-78
Ck_H3DR12P21_Mounder
Ck_k187-44
Ck_KN123-6
Ck_k185-20
Ck_d-79
Cx_Rutban_Aurora
Cx_KN_144-2_Rosy_Teacups
Ck_KN123-12
Cx_Rutgan_Stellar_Pink
Ck_H3DR03P75
Ck_KN68-7
Cn_Contreras_Garden
KN88-7
Cx_Eddies_White_Wonder
Cx_KN30-8_Venus
KFN36-1
KF137-123_D-029
D-037_F70:R03P12
Ck_H3S2R09P29_(RUT_20-54)
R02P13
NH144-9_F70:_R20P73
Ck_H3G2R05P66_(RUT_19-33)
Ck_H3G2R06P72_(RUT_18-25)
Ck_H3G2R15P31_(RUT_19-45)
Ck_H3G2R12P91_(RUT_20-55)
Ck_H3DR05P13
R1P17
Cx_Rutlan_Ruth_Ellen
KN36-1
Unlabeled_behind_pin_oak_Orton's_House
Ck_H3DR12P36_Upright_(RUT_20-49)
KN09_(Orton#2)_D-061
D-038
KN140-727
F70:_R06P26_D-042
H3DR11P29
KF45-29
F70:_R02P38
161-200_D-044
Ck_H3G2R05P107_(RUT_18-24)
Ck_H3G2R18P29_(RUT_20-78)
Cx_Saturn
unknown_between_F70R06P26_and_KN161-119
Ck_H3DR20P16_(RUT_19-51)
KN123-1_D-050
Cx_KF_F1_Hybrid
Ck_H3DR08P01_(RUT_18-13)
KF83-1_F70:R32P14
R2P21
Ck_H3G2R10P71_(RUT_19-38)
KF137-47
Ck_H3D1R01P56_(RUT_17-01)
Ck_H3DR03P07_(Watermelon)
unlabed_hybrid_in_trio_with_R2P21_and_R1P17
Ck_H3G2R10P73_(RUT_19-39)
Ck_H3G2R16P35_(RUT_19-46)
Ck_H3G2R04P29_(RUT_18-15)
KN161-119
