0.5	0.5	0
0	0	0
0.5	0.5	0
0.5	0.5	0
0.5	0.5	0
0.5	0.5	0
0.5	0.5	0
0.5	0.5	0
0.25	0.75	0
0.125	0.875	0
0	0	0
0.0625	0.9375	0
0.03125	0.96875	0
0.03125	0.96875	0
0	0	0
0	1	0
0	1	0
0	1	0
0	1	0
0	0	0
0	0.96875	0.03125
0	0.75	0.25
0.0625	0.9375	0
0	0.875	0.125
0	0.96875	0.03125
0	0.984375	0.015625
0	0.984375	0.015625
0	1	0
0	1	0
0	1	0
0	1	0
0.03125	0.96875	0
0.0625	0.9375	0
0	0.984375	0.015625
0	1	0
0	0.9375	0.0625
0	0.9375	0.0625
0	0	0
0.03125	0.96875	0
0.03125	0.96875	0
0	1	0
0	0.9375	0.0625
0	0.9375	0.0625
0	0.9375	0.0625
0.125	0.875	0
0	0.875	0.125
0	0.9375	0.0625
0	0	0
0	0.9375	0.0625
0	0.94	0.0625
0.125	0.875	0
0	0.875	0.125
0	0.875	0.125
0	0.75	0.25
0	0	0
0	0.75	0.25
0	0	0
0	0	0
0	0.75	0.25
0	0.75	0.25
0	0.5	0.5
0	0.5	0.5
0.5	0	0.5
0	0	1
